gold_label,predicted_label,count,gold_count,row_fraction
in_scope,in_scope,18,56,0.321429
in_scope,oos,0,56,0.000000
in_scope,no_intent,0,56,0.000000
in_scope,ambiguous,0,56,0.000000
in_scope,invalid,38,56,0.678571
oos,in_scope,0,22,0.000000
oos,oos,10,22,0.454545
oos,no_intent,0,22,0.000000
oos,ambiguous,0,22,0.000000
oos,invalid,12,22,0.545455
no_intent,in_scope,0,17,0.000000
no_intent,oos,0,17,0.000000
no_intent,no_intent,2,17,0.117647
no_intent,ambiguous,0,17,0.000000
no_intent,invalid,15,17,0.882353
ambiguous,in_scope,0,17,0.000000
ambiguous,oos,0,17,0.000000
ambiguous,no_intent,0,17,0.000000
ambiguous,ambiguous,1,17,0.058824
ambiguous,invalid,16,17,0.941176
