gold_label,predicted_label,count,gold_count,row_fraction
in_scope,in_scope,4,56,0.071429
in_scope,oos,0,56,0.000000
in_scope,no_intent,0,56,0.000000
in_scope,ambiguous,0,56,0.000000
in_scope,invalid,52,56,0.928571
oos,in_scope,0,22,0.000000
oos,oos,2,22,0.090909
oos,no_intent,0,22,0.000000
oos,ambiguous,0,22,0.000000
oos,invalid,20,22,0.909091
no_intent,in_scope,0,17,0.000000
no_intent,oos,0,17,0.000000
no_intent,no_intent,2,17,0.117647
no_intent,ambiguous,0,17,0.000000
no_intent,invalid,15,17,0.882353
ambiguous,in_scope,0,17,0.000000
ambiguous,oos,0,17,0.000000
ambiguous,no_intent,0,17,0.000000
ambiguous,ambiguous,0,17,0.000000
ambiguous,invalid,17,17,1.000000
