gold_label,predicted_label,count,gold_count,row_fraction
in_scope,in_scope,52,56,0.928571
in_scope,oos,3,56,0.053571
in_scope,no_intent,0,56,0.000000
in_scope,ambiguous,0,56,0.000000
in_scope,invalid,1,56,0.017857
oos,in_scope,0,22,0.000000
oos,oos,22,22,1.000000
oos,no_intent,0,22,0.000000
oos,ambiguous,0,22,0.000000
oos,invalid,0,22,0.000000
no_intent,in_scope,0,17,0.000000
no_intent,oos,0,17,0.000000
no_intent,no_intent,15,17,0.882353
no_intent,ambiguous,2,17,0.117647
no_intent,invalid,0,17,0.000000
ambiguous,in_scope,0,17,0.000000
ambiguous,oos,0,17,0.000000
ambiguous,no_intent,0,17,0.000000
ambiguous,ambiguous,17,17,1.000000
ambiguous,invalid,0,17,0.000000
