gold_label,predicted_label,count,gold_count,row_fraction
in_scope,in_scope,44,56,0.785714
in_scope,oos,8,56,0.142857
in_scope,no_intent,1,56,0.017857
in_scope,ambiguous,3,56,0.053571
in_scope,invalid,0,56,0.000000
oos,in_scope,3,22,0.136364
oos,oos,15,22,0.681818
oos,no_intent,1,22,0.045455
oos,ambiguous,3,22,0.136364
oos,invalid,0,22,0.000000
no_intent,in_scope,0,17,0.000000
no_intent,oos,2,17,0.117647
no_intent,no_intent,14,17,0.823529
no_intent,ambiguous,1,17,0.058824
no_intent,invalid,0,17,0.000000
ambiguous,in_scope,1,17,0.058824
ambiguous,oos,0,17,0.000000
ambiguous,no_intent,13,17,0.764706
ambiguous,ambiguous,3,17,0.176471
ambiguous,invalid,0,17,0.000000
