gold_label,predicted_label,count,gold_count,row_fraction
in_scope,in_scope,35,56,0.625000
in_scope,oos,1,56,0.017857
in_scope,no_intent,18,56,0.321429
in_scope,ambiguous,2,56,0.035714
in_scope,invalid,0,56,0.000000
oos,in_scope,5,22,0.227273
oos,oos,4,22,0.181818
oos,no_intent,13,22,0.590909
oos,ambiguous,0,22,0.000000
oos,invalid,0,22,0.000000
no_intent,in_scope,6,17,0.352941
no_intent,oos,0,17,0.000000
no_intent,no_intent,10,17,0.588235
no_intent,ambiguous,1,17,0.058824
no_intent,invalid,0,17,0.000000
ambiguous,in_scope,1,17,0.058824
ambiguous,oos,0,17,0.000000
ambiguous,no_intent,2,17,0.117647
ambiguous,ambiguous,14,17,0.823529
ambiguous,invalid,0,17,0.000000
