gold_label,predicted_label,count,gold_count,row_fraction
in_scope,in_scope,55,56,0.982143
in_scope,oos,0,56,0.000000
in_scope,no_intent,0,56,0.000000
in_scope,ambiguous,1,56,0.017857
in_scope,invalid,0,56,0.000000
oos,in_scope,0,22,0.000000
oos,oos,22,22,1.000000
oos,no_intent,0,22,0.000000
oos,ambiguous,0,22,0.000000
oos,invalid,0,22,0.000000
no_intent,in_scope,0,17,0.000000
no_intent,oos,0,17,0.000000
no_intent,no_intent,17,17,1.000000
no_intent,ambiguous,0,17,0.000000
no_intent,invalid,0,17,0.000000
ambiguous,in_scope,0,17,0.000000
ambiguous,oos,0,17,0.000000
ambiguous,no_intent,0,17,0.000000
ambiguous,ambiguous,17,17,1.000000
ambiguous,invalid,0,17,0.000000
