gold_label,predicted_label,count,gold_count,row_fraction
in_scope,in_scope,41,56,0.732143
in_scope,oos,0,56,0.000000
in_scope,no_intent,0,56,0.000000
in_scope,ambiguous,0,56,0.000000
in_scope,invalid,15,56,0.267857
oos,in_scope,0,22,0.000000
oos,oos,16,22,0.727273
oos,no_intent,0,22,0.000000
oos,ambiguous,0,22,0.000000
oos,invalid,6,22,0.272727
no_intent,in_scope,0,17,0.000000
no_intent,oos,0,17,0.000000
no_intent,no_intent,10,17,0.588235
no_intent,ambiguous,0,17,0.000000
no_intent,invalid,7,17,0.411765
ambiguous,in_scope,0,17,0.000000
ambiguous,oos,0,17,0.000000
ambiguous,no_intent,0,17,0.000000
ambiguous,ambiguous,8,17,0.470588
ambiguous,invalid,9,17,0.529412
