gold_label,predicted_label,count,gold_count,row_fraction
in_scope,in_scope,17,56,0.303571
in_scope,oos,0,56,0.000000
in_scope,no_intent,0,56,0.000000
in_scope,ambiguous,0,56,0.000000
in_scope,invalid,39,56,0.696429
oos,in_scope,0,22,0.000000
oos,oos,4,22,0.181818
oos,no_intent,0,22,0.000000
oos,ambiguous,0,22,0.000000
oos,invalid,18,22,0.818182
no_intent,in_scope,0,17,0.000000
no_intent,oos,0,17,0.000000
no_intent,no_intent,6,17,0.352941
no_intent,ambiguous,0,17,0.000000
no_intent,invalid,11,17,0.647059
ambiguous,in_scope,0,17,0.000000
ambiguous,oos,0,17,0.000000
ambiguous,no_intent,0,17,0.000000
ambiguous,ambiguous,3,17,0.176471
ambiguous,invalid,14,17,0.823529
